phbarc,phprsu,phcolp,phcocp,phlebi,phlesu,phadul,phfpre,phcocs,tititu,tiauto
101027833,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,Q    ,21 estudios para guitarra flamenca : nivel elemental = Twent,Herrero, Oscar (1959-)
101487370,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,Q    ,Perséphone : melodrame en trois tableaux /,Stravinsky, Igor (1882-1971)
1401233468,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,T    ,Woodstock live /,Bitoun, Julien (1983-)
100769191,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,09/01/25,Q    ,Método para piano. Tomo II : (Introducción a la música) /,Hemsy de Gainza, Violeta.
100322605,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,09/01/25,T    ,Armonía /,Motte, Diether de la (1928-)
283457,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,09/01/25,T    ,Funciones estructurales de la armonía /,Schoenberg, Arnold (1874-1951)
101481204,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,09/01/25,T    ,Como conocer las formas de la música /,Hodeir, André (1921-)
101487763,BMM   ,,MA   ,,,,08/01/25,Q    ,Romantic piano masterpieces /,
100357769,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,T    ,Historia de la música española. 7, El folklore musical /,Crivillé i Bargallo, Josep.
1300028334,BMM   ,,MA   ,,,,09/01/25,T    ,La guitarra de acompañamiento : para tocar y cantar : método,Zapata, Manuel.
1401238563,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,10/01/25,T    ,Vida y visiones de Hildegard von Bingen / ,Hildegarda, Santa (1098-1179)
101489058,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,10/01/25,Q    ,Nocturnes and polonaises /,Chopin, Frédéric (1810-1849)
1800345854,BTM   ,AYU  ,NP   ,BTM   ,BTM   ,1,13/01/25,T    ,Temario para Ayudante/a de Archivo y Biblioteca del Ayuntami,
1800345855,BTM   ,AYU  ,NP   ,BTM   ,BTM   ,1,13/01/25,T    ,Temario para Ayudante/a de Archivo y Biblioteca del Ayuntami,
101028334,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,13/01/25,Q    ,Armonía. 1 /,Molina, Emilio (1951-)
101028333,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,13/01/25,Q    ,Armonía. 2 /,Molina, Emilio (1951-)
1800345818,BTM   ,AYU  ,MT   ,BTM   ,BTM   ,1,14/01/25,T    ,Supuestos prácticos para auxiliar de archivo : : Ordenación,,Fernández Panal, Yolanda.
101027827,BMM   ,,MA   ,,,,14/01/25,Q    ,La técnica al servicio del arte. vol. II : guitarra flamenca,Núñez, Gerardo (1961-)
1300027824,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,16/01/25,T    ,La música en el siglo XIX /,Frisch, Walter.
100769053,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,17/01/25,Q    ,Ave Maria : per canto e pianoforte : Op. 52, nº 6 /,Schubert, Franz (1797-1828)
1800345737,BTM   ,AYU  ,MT   ,BTM   ,BTM   ,1,17/01/25,T    ,Auxiliar administrativo/a de corporaciones locales. Simulacr,Torres Fonseca, Francisco Jesús.
100351471,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,20/01/25,Q    ,Turandot : dramma lirico in tre atti e cinque quadri di G. A,Puccini, Giacomo (1858-1924)
1300017919,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,21/01/25,Q    ,Armonía tonal funcional : armonía clásica : libro del alumno,Székely, Katalin (1953-)
1800340489,BTM   ,AYU  ,MT   ,BTM   ,BTM   ,1,23/01/25,T    ,Administrativos Promoción Interna. Cuestionarios. Ayuntamien,
1800345664,BTM   ,AYU  ,NP   ,BTM   ,BTM   ,1,24/01/25,T    ,Auxiliar de archivos y bibliotecas. Test del temario general,
1800345660,BTM   ,AYU  ,NP   ,BTM   ,BTM   ,1,24/01/25,T    ,Auxiliar de Archivos y Bibliotecas. Supuestos prácticos / ,
101028049,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,27/01/25,T    ,Ser instrumento : discurso de ingreso del Exmo. Sr. D. Narci,Yepes, Narciso (1927-1997)
100769285,BMM   ,,MA   ,,,,27/01/25,Q    ,Mi amiga la viola. Primera parte : melodías populares, adapt,Roig Cerveró, Luis José.
100072110,BMM   ,,MA   ,,,,27/01/25,Q    ,Mi amigo el violín. Primera parte : melodías populares, adap,Roig Cerveró, Luis José.
101025217,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,09/01/25,S    ,Los Rodríguez : discografía básica [,Rodriguez (Grupo musical)
101481975,BMM   ,,NP   ,,,,08/01/25,T    ,Método para armónica cromática y de acompañamiento /,Fuste Alcalá, Joaquín.
1300025319,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,03/01/25,T    ,Beethoven : tormento y triunfo /,Swafford, Jan (1946-)
100067974,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,07/01/25,T    ,Music, physics and engineering /,Olson, Harry F.
1300023851,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,07/01/25,T    ,Tiempo y música : con un saludo de Czeslaw Milosz /,Hersch, Jeanne (1910-2000)
